panoID: pn92novJYmTw9Tv-mi1OsA panoDate: 2018-02 longitude: -118.200959 latitude: 33.868481, greenview: 4.1111458333333335
panoID: b2FrdzUsUnRKtGOnG2n3mg panoDate: 2017-12 longitude: -118.201109 latitude: 33.868604, greenview: 11.176145833333331
panoID: 6DNiGR9Qbz7jKDyE7OtWiA panoDate: 2018-02 longitude: -118.201041 latitude: 33.868748, greenview: 5.508437499999999
panoID: mzkC5NpJmUWGpW5iaK9kgg panoDate: 2017-12 longitude: -118.201188 latitude: 33.868866, greenview: 14.879791666666664
panoID: iMTexx8FT4e7jpHejSe0qQ panoDate: 2018-02 longitude: -118.201136 latitude: 33.869060, greenview: 6.133854166666666
panoID: 5kAxkQ9-IR94UBS8pLC7sw panoDate: 2017-12 longitude: -118.201281 latitude: 33.869173, greenview: 11.368645833333332
panoID: ue8gb0h3rxltFJIaAPbwLQ panoDate: 2018-02 longitude: -118.201213 latitude: 33.869323, greenview: 10.182291666666668
panoID: ROgI0StfFQMHA8NFvhzLaA panoDate: 2018-02 longitude: -118.201264 latitude: 33.869496, greenview: 8.514270833333335
panoID: _RsvMr9usYcbm_Y9SFGpfA panoDate: 2017-12 longitude: -118.201410 latitude: 33.869608, greenview: 14.068020833333334
panoID: 8qkgPR09YrLhCwZ3pH7AEA panoDate: 2018-02 longitude: -118.201339 latitude: 33.869746, greenview: 4.5840625
panoID: dA03Q40lRr91gA3BLHBVVw panoDate: 2018-02 longitude: -118.201393 latitude: 33.869916, greenview: 6.179270833333334
panoID: qhCyt_vES-zybDBJvT7nzg panoDate: 2018-02 longitude: -118.201445 latitude: 33.870081, greenview: 4.5575
panoID: cuCpHkaltfmO51qPr0ncRg panoDate: 2018-02 longitude: -118.201483 latitude: 33.870203, greenview: 2.2429166666666664
panoID: Xtf6eJ8wZm4EdlhLUv_5Dg panoDate: 2018-02 longitude: -118.201509 latitude: 33.870290, greenview: 2.5613541666666664
panoID: y2BnnHm0XXJIbEDRmzrEzg panoDate: 2018-02 longitude: -118.201563 latitude: 33.870474, greenview: 3.160520833333333
panoID: k42pl7ElmTpFcTDBl8QGdw panoDate: 2018-02 longitude: -118.201601 latitude: 33.870605, greenview: 3.6316666666666664
panoID: tgIVaDxZ644-gXfSrSBPHA panoDate: 2018-02 longitude: -118.201656 latitude: 33.870797, greenview: 3.308020833333334
panoID: -Ti1467sFDk_oEXd2QV5Fg panoDate: 2018-02 longitude: -118.201697 latitude: 33.870947, greenview: 5.102604166666667
panoID: eArQK0VIT4VBr0thqWHhFg panoDate: 2018-03 longitude: -118.201840 latitude: 33.871036, greenview: 7.290937499999999
