panoID: BgwK6D0DGsC8TF7NZM61oA panoDate: 2018-05 longitude: -118.192536 latitude: 33.804432, greenview: 6.373645833333334
panoID: eFwqRqawP7CS_mqXwAhY6w panoDate: 2018-04 longitude: -118.192712 latitude: 33.804328, greenview: 3.612708333333334
panoID: B8Sp30ha437r74PVABwX6A panoDate: 2018-04 longitude: -118.192874 latitude: 33.804328, greenview: 3.60875
panoID: r_rNU8qVshifiatAO9wXjg panoDate: 2018-05 longitude: -118.193074 latitude: 33.804434, greenview: 3.4790625
panoID: njletrSfsrSgTIPUdjNvrw panoDate: 2018-05 longitude: -118.193282 latitude: 33.804437, greenview: 4.265625000000001
panoID: D2CqvGE1tKOkbt720fhQIw panoDate: 2018-05 longitude: -118.193432 latitude: 33.804438, greenview: 3.6415624999999996
panoID: viRZKNJtCo-jcqoaAgnNqQ panoDate: 2018-05 longitude: -118.193605 latitude: 33.804439, greenview: 3.610833333333334
panoID: ouDgAT23f_5lkItA3Fvugg panoDate: 2018-05 longitude: -118.193771 latitude: 33.804439, greenview: 5.3140624999999995
panoID: tEdLnSvsi8LCCjLE-BR6dg panoDate: 2018-05 longitude: -118.193987 latitude: 33.804435, greenview: 9.252291666666666
panoID: VsR-4XeMcxaCDKwhDgCAeg panoDate: 2018-05 longitude: -118.194204 latitude: 33.804431, greenview: 10.159479166666666
panoID: W6ABlV52kPYzTYZi9E69GA panoDate: 2018-05 longitude: -118.194312 latitude: 33.804429, greenview: 9.039791666666668
panoID: KFSx3X_N85QPygWzm-KQwA panoDate: 2018-05 longitude: -118.194514 latitude: 33.804425, greenview: 12.5440625
panoID: bje14GO9rJFnQfRj7WH_IQ panoDate: 2018-05 longitude: -118.194676 latitude: 33.804422, greenview: 8.424166666666666
panoID: 5ht7AtfiPcJC1pPCGw3Tmg panoDate: 2018-05 longitude: -118.194844 latitude: 33.804421, greenview: 5.251145833333333
panoID: MFRMyGyjNa0lzjgK3p7EdQ panoDate: 2018-05 longitude: -118.195114 latitude: 33.804424, greenview: 3.2675
panoID: W7tQn5KGbXSeN7jFZq0kPA panoDate: 2018-05 longitude: -118.195222 latitude: 33.804425, greenview: 1.993854166666667
